manufacturer,model,description,transmission,engineCapacityCc,fuelType,litresPer100kmUrban,litresPer100kmExtraUrban,litresPer100kmCombined,kgCO2PerKm,noiseLeveldBA,gCOPerKm,gHCPerKm,gNOxPerKm,gParticulatesPerKm,units,source
FORD,Fiesta,1.25i 16V (13 inch tyre),M5,1242,Petrol,8.7,5.8,6.9,0.161,69.0,0.296,0.054,0.061,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,0.161,69.0,0.3,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,0.171,71.0,0.5,0.1,-,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Galaxy,2.8i CD-V6,M6,2792,Petrol,14.8,8.5,10.8,0.259,73.0,0.3,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
SEAT,Alhambra,2.0 115 bhp,M6,1984,Petrol,13.0,7.7,9.7,0.233,74,0.814,0.067,0.07,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SEAT,Alhambra,1.8 20V Turbo,M6,1781,Petrol,13.4,7.4,9.6,0.230,74,0.545,0.061,0.017,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Fabia Hatch,Comfort 1.4 16V 100 bhp,M5,1390,Petrol,9.6,5.7,7.1,0.170,73,0.615,0.089,0.02,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Fabia Hatch,Elegance 1.4 16V 100 bhp,M5,1390,Petrol,9.6,5.7,7.1,0.170,73,0.615,0.089,0.02,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Hatch,GLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Hatch,SLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Estate,GLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Estate,SLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VAUXHALL,Agila Model Year 2000,1.0 12V,M,973,Petrol,7.5,5.6,6.3,0.151,72,0.403,0.064,0.051,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VAUXHALL,Agila Model Year 2000,1.2 16V,M,1199,Petrol,8.0,5.7,6.5,0.156,73,0.348,0.055,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,E 1.0 50 bhp,M5,999,Petrol,7.8,4.7,5.8,0.139,72.5,0.209,0.071,0.025,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,E 1.4 75 bhp,M5,1390,Petrol,8.7,4.9,6.3,0.151,72.5,0.294,0.067,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,S 1.4 75 bhp,M5,1390,Petrol,8.7,4.9,6.3,0.151,72.5,0.294,0.067,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,Sport 1.4 16V 100 bhp,M5,1390,Petrol,9.6,5.2,6.8,0.163,73,0.283,0.061,0.014,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,E 1.0 50 bhp,M5,999,Petrol,7.6,4.8,5.8,0.139,72,0.209,0.071,0.025,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,E 1.4 60 bhp,M5,1390,Petrol,8.5,5.0,6.3,0.151,73,0.251,0.043,0.023,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,E 1.4 60 bhp,A4,1390,Petrol,10.2,6.3,7.7,0.185,73,0.31,0.062,0.019,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,S 1.4 60 bhp,M5,1390,Petrol,8.5,5.0,6.3,0.151,73,0.251,0.043,0.023,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,S 1.4 60 bhp,A4,1390,Petrol,10.2,6.3,7.7,0.185,73,0.31,0.062,0.019,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,S 1.4 75 bhp,M5,1390,Petrol,8.8,5.0,6.4,0.154,73,0.355,0.071,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,SE 1.4 60 bhp,M5,1390,Petrol,8.5,5.0,6.3,0.151,73,0.251,0.043,0.023,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,SE 1.4 60 bhp,A4,1390,Petrol,10.2,6.3,7.7,0.185,73,0.31,0.062,0.019,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,SE 1.4 75 bhp,M,1390,Petrol,8.8,5.0,6.4,0.154,72.5,0.355,0.071,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,16V 1.4 100 bhp,M5,1390,Petrol,9.7,5.5,7.0,0.168,74,0.238,0.061,0.014,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Polo Hatch 3 and 5 Door,GTI 1.6 125 bhp,M5,1598,Petrol,10.2,5.5,7.2,0.173,74,0.191,0.059,0.042,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,Colour Concept 2.0 115 bhp,M5,1984,Petrol,11.3,6.3,8.1,0.194,72,0.569,0.064,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,Avantgarde 2.0 115 bhp,M5,1984,Petrol,11.3,6.3,8.1,0.194,72,0.569,0.064,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,E 1.4 75 bhp,M5,1390,Petrol,9.1,5.5,6.8,0.163,72,0.121,0.074,0.04,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,S 1.4 75 bhp,M5,1390,Petrol,9.1,5.5,6.8,0.163,72,0.121,0.074,0.04,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,S 1.6 105 bhp,M5,1598,Petrol,9.6,5.7,7.1,0.170,72,0.353,0.061,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,SE 1.6 105 bhp,M5,1598,Petrol,9.6,5.7,7.1,0.170,72,0.353,0.061,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,GTI 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.794,0.068,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 3/5 Door Hatchback,V6 4MOTION,M5,2792,Petrol,15.6,8.3,11.0,0.264,74,0.473,0.059,0.025,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 5 Door Estate,E 1.4 75 bhp,M5,1390,Petrol,9.3,5.6,7.0,0.168,72,0.121,0.074,0.04,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 5 Door Estate,S 1.6 105 bhp,M5,1598,Petrol,9.7,5.8,7.2,0.173,72,0.353,0.061,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 5 Door Estate,S 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.794,0.068,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Golf 5 Door Estate,SE 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.794,0.068,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Bora 4 Door Saloon,V6 4MOTION,M5,2792,Petrol,15.6,8.3,11.0,0.264,74,0.473,0.059,0.025,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Bora 4 Door Saloon,S 1.6 105 bhp,M5,1598,Petrol,9.7,5.8,7.2,0.173,72,0.353,0.061,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Bora 4 Door Saloon,SE 1.6 105 bhp,M5,1598,Petrol,9.7,5.8,7.2,0.173,72,0.353,0.061,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Beetle,2.0 115 bhp,M5,1984,Petrol,11.8,6.9,8.7,0.209,73.5,0.685,0.086,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Sharan 5 Door,S 2.0 115 bhp,M6,1984,Petrol,13.0,7.7,9.7,0.233,74,0.814,0.067,0.07,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Sharan 5 Door,SE 2.0 115 bhp,M6,1984,Petrol,13.0,7.7,9.7,0.233,74,0.814,0.067,0.07,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Sharan 5 Door,SE 1.8 20V Turbo 150 bhp,M6,1781,Petrol,13.5,7.5,9.7,0.233,74,0.545,0.061,0.017,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Sharan 5 Door,Sport 1.8 20V Turbo 150 bhp,M6,1781,Petrol,13.5,7.5,9.7,0.233,74,0.545,0.061,0.017,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,New Sharan 5 Door,Carat 1.8 20V Turbo 150 bhp,M6,1781,Petrol,13.5,7.5,9.7,0.233,74,0.545,0.061,0.017,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A2 (Standard and SE),1.4 (75 bhp),M5,1390,Petrol,8.2,4.7,6.0,0.144,71.0,0.258,0.068,0.025,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A2 (Standard and SE),1.4 SE (75 bhp),M5,1390,Petrol,8.3,4.8,6.1,0.146,71.0,0.258,0.068,0.025,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (3 door S SE and Sport),1.6 S SE and Sport Models (101 bhp),A4,1595,Petrol,11.2,6.2,8,0.192,71,0.48,0.058,0.044,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (3 door S SE and Sport),1.6 S SE and Sport Models (101 bhp),M5,1595,Petrol,9.8,5.4,7,0.168,73,0.718,0.053,0.039,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (3 door S SE and Sport),1.8 T Sport (150 bhp),A4,1781,Petrol,12.8,6.9,9,0.216,70,0.775,0.051,0.026,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (3 door S SE and Sport),1.8 T Sport (150 bhp),M5,1781,Petrol,10.7,6.2,7.9,0.190,71,0.631,0.065,0.038,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.6 S (101 bhp),A4,1595,Petrol,11.2,6.2,8,0.192,71,0.48,0.058,0.044,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.6 SE and Sport Models (101 bhp),A4,1595,Petrol,11.4,6.3,8.1,0.194,71,0.48,0.058,0.044,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.6 S and Sport Models (101 bhp),M5,1595,Petrol,9.8,5.4,7,0.168,73,0.718,0.053,0.039,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.6 SE (101 bhp),M5,1595,Petrol,9.9,5.5,7.1,0.170,73,0.718,0.053,0.039,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.8 T Sport (150 bhp),A4,1781,Petrol,12.8,6.9,9,0.216,70,0.775,0.051,0.026,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A3 (5 door S SE and Sport),1.8 T Sport (150 bhp),M5,1781,Petrol,10.7,6.2,7.9,0.190,71,0.631,0.065,0.038,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),1.6 SE (101 bhp),M5,1595,Petrol,10.7,6,7.7,0.185,74,0.48,0.059,0.025,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),1.8 20v T Sport (150 bhp),M5,1781,Petrol,11.3,6.3,8.1,0.194,72,0.31,0.03,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),1.8 20v T Sport Tiptronic (150 bhp),A5,1781,Petrol,13.4,7,9.4,0.226,70,0.263,0.042,0.029,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),2.4 V6 SE Tiptronic (165 bhp),A5,2393,Petrol,15,7.6,10.1,0.242,73,0.158,0.043,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),2.8 V6 Quattro (193 bhp),QM5,2771,Petrol,15.4,7.8,10.6,0.254,73,0.276,0.04,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Saloon (Standard SE Sport and Quattro),2.8 V6 Quattro Tiptronic (193 bhp),QA5,2771,Petrol,16.2,8,11,0.264,74,0.338,0.038,0.042,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),1.8 20v T Sport (150 bhp),M5,1781,Petrol,11.4,6.4,8.2,0.197,72,0.31,0.03,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),1.8 20v T Sport Tiptronic (150 bhp),A5,1781,Petrol,13.4,7,9.4,0.226,70,0.269,0.042,0.029,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),2.4 V6 SE (165 bhp),M5,2393,Petrol,13.6,7.1,9.5,0.228,73,0.162,0.038,0.025,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),2.4 V6 SE Tiptronic (165 bhp),A5,2393,Petrol,15,7.6,10.1,0.242,73,0.158,0.043,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),2.8 V6 Quattro (193 bhp),QM5,2771,Petrol,15.6,7.9,10.7,0.257,73,0.276,0.04,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A4 Avant (Standard SE Sport and Quattro),2.8 V6 Quattro Tiptronic (193 bhp),QA5,2771,Petrol,16.2,8,11,0.264,74,0.338,0.038,0.042,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),1.8 20v T Multitronic (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,0.209,72.0,0.496,0.053,0.040,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),1.8 20v T SE Multitronic (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,0.209,72,0.496,0.053,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),1.8 20v T and SE Models (150 bhp),M5,1781,Petrol,11.5,6.7,8.5,0.204,72,0.35,0.032,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),1.8 20v T Quattro and SE Models (150 bhp),QM5,1781,Petrol,12.7,7.5,9.5,0.228,74,0.42,0.042,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.4 V6 SE Multitronic (165 bhp),AV,2393,Petrol,14.3,7.1,9.7,0.233,73,0.274,0.05,0.035,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.4 V6 SE (165 bhp),M5,2393,Petrol,14,7.5,9.9,0.238,72,0.229,0.047,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.4 V6 Quattro (165 bhp),QM5,2393,Petrol,15.3,8.4,11.0,0.264,73.0,0.257,0.044,0.026,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.4 V6 Quattro SE Tiptronic (165 bhp),QA5,2393,Petrol,16.1,8.1,11.2,0.269,73,0.184,0.049,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.8 V6 Sport and Quattro Models (194 bhp),QM5,2771,Petrol,15.4,8.2,10.8,0.259,72,0.332,0.042,0.032,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),2.8 V6 Sport and Quattro Models Tiptronic (194 bhp),QA5,2771,Petrol,16.8,8.6,11.6,0.278,72,0.235,0.042,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Saloon (SE Sport and Quattro),4.2 V8 Sport and Quattro Models (300 bhp),QA5,4172,Petrol,19.4,9.5,13.1,0.314,74,0.419,0.058,0.038,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),1.8 20v T and SE Multitronic Models (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,0.209,72,0.496,0.053,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),1.8 20v T and SE Models (150 bhp),M5,1781,Petrol,11.5,6.7,8.5,0.204,72,0.35,0.032,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),1.8 20v T Quattro and SE Models (150 bhp),QM5,1781,Petrol,12.7,7.5,9.5,0.228,74,0.42,0.042,0.04,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.4 V6 SE Multitronic (165 bhp),AV,2393,Petrol,14.3,7.1,9.7,0.233,73,0.274,0.05,0.035,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.4 V6 SE (165 bhp),M5,2393,Petrol,14.1,7.6,10,0.240,72,0.229,0.047,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.4 V6 Quattro SE Tiptronic (165 bhp),QA5,2393,Petrol,16.3,8.2,11.3,0.271,73,0.184,0.049,0.037,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.4 V6 Quattro (165 bhp),QM5,2393,Petrol,15.3,8.4,11.0,0.264,73.0,0.257,0.044,0.026,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.8 V6 Sport and Quattro Models Tiptronic (194 bhp),QA5,2771,Petrol,16.8,8.6,11.6,0.278,72,0.235,0.042,0.036,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),2.8 V6 Sport and Quattro Models (194 bhp),QM5,2771,Petrol,15.5,8.3,10.9,0.262,72,0.332,0.042,0.032,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A6 Avant (SE Sport and Quattro),4.2 V8 Sport and Quattro Models (300 bhp),QA5,4172,Petrol,19.4,9.5,13.1,0.314,74,0.419,0.058,0.038,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A8 (Sport Quattro and Quattro Sport),2.8 Sport Quattro and Sport Tiptronic (194 bhp),A5,2772,Petrol,17.5,8.5,11.8,0.283,72,0.33,0.064,0.031,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A8 (Sport Quattro and Quattro Sport),3.7 V8 Quattro and Sport Tiptronic (260 bhp),QA5,3697,Petrol,18.4,9,12.4,0.298,73,0.665,0.07,0.018,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A8 (Sport Quattro and Quattro Sport),4.2 V8 Quattro Tiptronic (310 bhp),QA5,4172,Petrol,19.6,9.2,13,0.312,74,0.38,0.054,0.055,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
AUDI,Audi A8 (Sport Quattro and Quattro Sport),4.2 V8 Quattro (LWB) Tiptronic (310 bhp),QA5,4172,Petrol,19.7,9.3,13.1,0.314,74,0.38,0.054,0.055,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,Puma,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,0.171,70.0,0.2,-,-,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon,A4,1999,Petrol,12.6,7.2,9.1,0.219,70.0,0.1,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.0i 16V Estate LX/ Zetec,A4,1999,Petrol,12.6,7.3,9.2,0.221,70,0.233,0.062,0.048,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.0i 16V Estate Ghia/Ghia X,A4,1999,Petrol,12.7,7.4,9.3,0.223,70.0,0.1,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Zetec S,M5,2495,Petrol,14.5,7.5,10.1,0.242,71.0,0.2,0.1,-,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Ghia X,M5,2495,Petrol,14.3,7.3,9.9,0.238,71.0,0.2,0.1,-,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Mondeo,2.5 V6 4/5 Door Estate,M5,2495,Petrol,14.4,7.4,10,0.240,71,0.174,0.059,0.019,-,dumb,Part_A_Euro_IV_jan2001.csv from http://www.vcacarfueldata.org.uk/downloads/
