manufacturer,model,description,transmission,engineCapacityCc,fuelType,litresPer100kmUrban,litresPer100kmExtraUrban,litresPer100kmCombined,kgCO2PerKm,noiseLeveldBA,gCOPerKm,gHCPerKm,gNOxPerKm,gParticulatesPerKm,units,source
count,9749,-,-,-,-,9749,9749,9749,9749,9749,9716,6403,8770,2596,,ajc 2008
very low,0.2,1950,-,-,-,8,5,6.1,0.156,71,0.148,0.035,0.018,0.002,,ajc 2008
low,0.4,3900,-,-,-,9.9,5.8,7.3,0.18,72,0.252,0.05,0.03,0.011,,ajc 2008
medium,0.6,5849,-,-,-,11.5,6.5,8.3,0.199,73,0.37,0.06,0.052,0.019,,ajc 2008
high,0.8,7799,-,-,-,13.6,7.4,9.6,0.231,74,0.5,0.073,0.2,0.022,,ajc 2008
very high,1,9749,-,-,-,-,-,-,-,-,-,-,-,-,,ajc 2008
min,-,-,-,-,-,4.7,3.2,3.8,0.099,0.2,0.001,0.008,0.001,0.001,,ajc 2008
max,-,-,-,-,-,34.7,25.7,35.8,0.52,77,1.972,0.5,0.388,0.06,,ajc 2008
average,-,-,-,-,-,11.076,6.322,8.064,0.197,72.308,0.336,0.057,0.091,0.014,,ajc 2008
