type,kgCO2PerKmPassenger,kgCO2PerPassengerKmIE,typicalJourneyDistance,units,source,algorithm,default
typical,0.1158,0.0772,7.7,kgCO2/km.passenger,UK: defra/amee 2008; IE: Dublin Bus 2006 Via Agency.com (Based on diesel used and passenger km travelled),value*user_distance,
local,0.1158,0.0772,7.7,kgCO2/km.passenger,defra/amee 2008,value*user_distance,
london,0.0818,0.0818,5.9,kgCO2/km.passenger,defra/amee 2008,value*user_distance,
coach,0.0290,0.0290,151,kgCO2/km.passenger,defra/amee 2008,value*user_distance,
