,"Appendix B: Default N2O and CH4  emission factors",,,,,,,,,
,,,,,,,,,,
,"Please note: If you have information on the specific type of combustion technology used please use the CH4 and N2O emisison factors in Table 2. ",,,,,,,,,
,,,,,,,,,,
,"Table 1: Tier 1 default values",,,,,,,,,
,,,,,,,,,,
,,,"Lower Heating Value(LHV)/Net Calorific Value (NCV) Basis",,,,"Higher Heating Value(HHV)/Gross Calorific Value (GCV) Basis",,,
,,,"kg GHG / TJ fuel",,"kg GHG / ton fuel",,"kg GHG / TJ fuel",,"kg GHG / ton fuel",
,"Fuel",,"CH4 ","N2O ","CH4 ","N2O ","CH4 ","N2O ","CH4 ","N2O "
,"Crude oil and derived substances","Crude oil",3.00E+000,6.00E-001,1.34E-001,2.67E-002,2.85E+000,5.70E-001,1.27E-001,2.54E-002
,,"Orimulsion",3.00E+000,6.00E-001,8.68E-002,1.74E-002,2.85E+000,5.70E-001,8.25E-002,1.65E-002
,,"Natural Gas Liquids",3.00E+000,6.00E-001,1.40E-001,2.79E-002,2.85E+000,5.70E-001,1.33E-001,2.65E-002
,,"Motor Gasoline",3.00E+000,6.00E-001,1.40E-001,2.80E-002,2.85E+000,5.70E-001,1.33E-001,2.66E-002
,,"Aviation Gasoline",3.00E+000,6.00E-001,1.40E-001,2.80E-002,2.85E+000,5.70E-001,1.33E-001,2.66E-002
,,"Jet Gasoline",3.00E+000,6.00E-001,1.40E-001,2.80E-002,2.85E+000,5.70E-001,1.33E-001,2.66E-002
,,"Jet Kerosene",3.00E+000,6.00E-001,1.39E-001,2.79E-002,2.85E+000,5.70E-001,1.32E-001,2.65E-002
,,"Other Kerosene",3.00E+000,6.00E-001,1.38E-001,2.77E-002,2.85E+000,5.70E-001,1.31E-001,2.63E-002
,,"Shale oil",3.00E+000,6.00E-001,1.20E-001,2.41E-002,2.85E+000,5.70E-001,1.14E-001,2.29E-002
,,"Gas/.Diesel oil",3.00E+000,6.00E-001,1.36E-001,2.72E-002,2.85E+000,5.70E-001,1.29E-001,2.58E-002
,,"Residual Fuel oil",3.00E+000,6.00E-001,1.28E-001,2.55E-002,2.85E+000,5.70E-001,1.21E-001,2.42E-002
,,"Liquified Petroleum Gases",1.00E+000,1.00E-001,5.26E-002,5.26E-003,9.00E-001,9.00E-002,4.73E-002,4.73E-003
,,"Ethane",1.00E+000,1.00E-001,5.16E-002,5.16E-003,9.00E-001,9.00E-002,4.64E-002,4.64E-003
,,"Naphtha",3.00E+000,6.00E-001,1.41E-001,2.81E-002,2.85E+000,5.70E-001,1.34E-001,2.67E-002
,,"Bitumen",3.00E+000,6.00E-001,1.27E-001,2.54E-002,2.85E+000,5.70E-001,1.21E-001,2.41E-002
,,"Lubricants",3.00E+000,6.00E-001,1.27E-001,2.54E-002,2.85E+000,5.70E-001,1.21E-001,2.41E-002
,,"Petroleum coke",3.00E+000,6.00E-001,1.03E-001,2.05E-002,2.85E+000,5.70E-001,9.75E-002,1.95E-002
,,"Refinery feedstocks",3.00E+000,6.00E-001,1.36E-001,2.72E-002,2.85E+000,5.70E-001,1.29E-001,2.58E-002
,,"Refinery Gas",1.00E+000,1.00E-001,5.50E-002,5.50E-003,9.00E-001,9.00E-002,4.95E-002,4.95E-003
,,"Paraffin waxes",3.00E+000,6.00E-001,1.27E-001,2.54E-002,2.85E+000,5.70E-001,1.21E-001,2.41E-002
