,,"White Spirit & SBP",3.00E+000,6.00E-001,1.27E-001,2.54E-002,2.85E+000,5.70E-001,1.21E-001,2.41E-002
,,"Other petroleum products",3.00E+000,6.00E-001,1.27E-001,2.54E-002,2.85E+000,5.70E-001,1.21E-001,2.41E-002
,"Coal and derived products","Anthracite",1.00E+000,1.50E+000,2.81E-002,4.22E-002,9.50E-001,1.43E+000,2.67E-002,4.01E-002
,,"Coking coal",1.00E+001,1.50E+000,2.97E-001,4.45E-002,9.50E+000,1.43E+000,2.82E-001,4.23E-002
,,"Other bituminous coal",1.00E+001,1.50E+000,2.72E-001,4.07E-002,9.50E+000,1.43E+000,2.58E-001,3.87E-002
,,"Sub-bituminous coal",1.00E+001,1.50E+000,1.99E-001,2.98E-002,9.50E+000,1.43E+000,1.89E-001,2.84E-002
,,"Lignite",1.00E+001,1.50E+000,1.25E-001,1.88E-002,9.50E+000,1.43E+000,1.19E-001,1.79E-002
,,"Oil shale and tar sands",1.00E+001,1.50E+000,9.37E-002,1.41E-002,9.50E+000,1.43E+000,8.90E-002,1.34E-002
,,"Brown coal briquettes",1.00E+001,1.50E+000,2.18E-001,3.27E-002,9.50E+000,1.43E+000,2.07E-001,3.11E-002
,,"Patent fuel",1.00E+001,1.50E+000,2.18E-001,3.27E-002,9.50E+000,1.43E+000,2.07E-001,3.11E-002
,,"Coke oven coke & lignite coke",1.00E+001,1.50E+000,2.97E-001,4.45E-002,9.50E+000,1.43E+000,2.82E-001,4.23E-002
,,"Gas coke",1.00E+000,1.00E-001,2.97E-002,2.97E-003,9.50E-001,9.50E-002,2.82E-002,2.82E-003
,,"Coal tar",1.00E+001,1.50E+000,2.95E-001,4.42E-002,9.50E+000,1.43E+000,2.80E-001,4.20E-002
,,"Gas works gas",1.00E+000,1.00E-001,4.30E-002,4.30E-003,9.00E-001,9.00E-002,3.87E-002,3.87E-003
,,"Coke oven gas",1.00E+000,1.00E-001,4.30E-002,4.30E-003,9.00E-001,9.00E-002,3.87E-002,3.87E-003
,,"Blast furnace gas",1.00E+000,1.00E-001,2.74E-003,2.74E-004,9.00E-001,9.00E-002,2.47E-003,2.47E-004
,,"Oxygen steel furnace gas",1.00E+000,1.00E-001,7.84E-003,7.84E-004,9.00E-001,9.00E-002,7.06E-003,7.06E-004
,"Natural Gas","Natural Gas ",1.00E+000,1.00E-001,5.33E-002,5.33E-003,9.00E-001,9.00E-002,5.07E-002,4.80E-003
,"Non-biomass waste ","Municipal wastes (non-biomass fraction)",3.00E+001,4.00E+000,3.16E-001,4.21E-002,2.85E+001,3.80E+000,3.00E-001,4.00E-002
,,"Industrial wastes",3.00E+001,4.00E+000,"N/A","N/A",2.85E+001,3.80E+000,"N/A","N/A"
,,"Waste oils",3.00E+001,4.00E+000,1.27E+000,1.69E-001,2.85E+001,3.80E+000,1.21E+000,1.61E-001
,"Peat","Peat",2.00E+000,1.50E+000,2.05E-002,1.54E-002,1.90E+000,1.43E+000,1.95E-002,1.46E-002
,"Biomass waste","Wood/Wood waste",3.00E+001,4.00E+000,4.93E-001,6.57E-002,2.85E+001,3.80E+000,4.68E-001,6.24E-002
,,"Sulphite lyes (Black liqour)",3.00E+000,2.00E+000,3.73E-002,2.48E-002,2.85E+000,1.90E+000,3.54E-002,2.36E-002
,,"Other primary solid biomass fuels",3.00E+001,4.00E+000,3.66E-001,4.88E-002,2.85E+001,3.80E+000,3.48E-001,4.64E-002
,,"Charcoal",2.00E+002,4.00E+000,6.21E+000,1.24E-001,1.90E+002,3.80E+000,5.90E+000,1.18E-001
,,"Biogasoline",3.00E+000,6.00E-001,8.53E-002,1.71E-002,2.85E+000,5.70E-001,8.10E-002,1.62E-002
,,"Biodiesels",3.00E+000,6.00E-001,8.53E-002,1.71E-002,2.85E+000,5.70E-001,8.10E-002,1.62E-002
,,"Other liquid biofuels",3.00E+000,6.00E-001,8.65E-002,1.73E-002,2.85E+000,5.70E-001,8.22E-002,1.64E-002
,,"Landfill gas",1.00E+000,1.00E-001,5.60E-002,5.60E-003,9.00E-001,9.00E-002,5.04E-002,5.04E-003
,,"Sludge gas",1.00E+000,1.00E-001,5.60E-002,5.60E-003,9.00E-001,9.00E-002,5.04E-002,5.04E-003
,,"Other biogas",1.00E+000,1.00E-001,5.60E-002,5.60E-003,9.00E-001,9.00E-002,5.04E-002,5.04E-003
,,"Municipal wastes (biomass fraction)",3.00E+001,4.00E+000,3.66E-001,4.88E-002,2.85E+001,3.80E+000,3.48E-001,4.64E-002
,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories. The IPCC values were originally on a NCV (LHV) basis and have been converted to a GCV (HHV) basis using rule of thumb.Gross calorific (higher heating) values are preferred because they are more closely related to the carbon content of fuels than net calorific (lower heating) values.",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Table 2: Tier 3 equipment-specific default values ",,,,,,,,,
,,,,,,,,,,
,"When the type of combustion technology is known, the following defaults should be used for N2O and CH4:",,,,,,,,,
,,,,,,,,,,
,"Technology",,,"LHV/NCV basis:          kg/TJ fuel",,"HHV/GCV basis:         kg/TJ fuel",,,,
,"Basic Technology",,"Configuration","CH4","N2O","CH4","N2O",,,
,"Liquid fuels","Residual fuel oil/ Shale oil boilers",,3.00E+000,3.00E-001,2.85E+000,2.85E-001,,,
,,"Gas/Diesel oil boilers",,2.00E-001,4.00E-001,1.90E-001,3.80E-001,,,
,,"Large stationary diesel oil engines >600hp (447kW)",,4.00E+000,"N/A",3.80E+000,"Err:529",,,
,,"Liquified Petroleum Gases (LPG) boilers",,9.00E-001,4.00E+000,8.55E-001,3.80E+000,,,
,"Solid fuels","Other bituminous /Sub-bituminous overfeed stoker boilers",,1.00E+000,7.00E-001,9.50E-001,6.65E-001,,,
,,"Other bituminous /Sub-bituminous underfeed stoker boilers",,1.40E+001,7.00E-001,1.33E+001,6.65E-001,,,
,,"Other bituminous/sub-bituminous pulverised","Dry bottom, wall fired",7.00E-001,5.00E-001,6.65E-001,4.75E-001,,,
,,"Other bituminous/sub-bituminous pulverised","Dry bottom, tangentially fired",7.00E-001,1.40E+000,6.65E-001,1.33E+000,,,
,,"Other bituminous/sub-bituminous pulverised","Wet bottom",9.00E-001,1.40E+000,8.55E-001,1.33E+000,,,
,,"Other bituminous spreader stokers",,1.00E+000,7.00E-001,9.50E-001,6.65E-001,,,
,,"Other bituminous/sub-bituminous fluidised bed combustor","Circulating bed",1.00E+000,6.10E+001,9.50E-001,5.80E+001,,,
,,"Other bituminous/sub-bituminous fluidised bed combustor","Bubbling bed",1.00E+000,6.10E+001,9.50E-001,5.80E+001,,,
,"Natural Gas","Boilers",,1.00E+000,1.00E+000,9.00E-001,9.00E-001,,,
,,"Gas-fired gas turbines >3MW",,4.00E+000,1.00E+000,3.60E+000,9.00E-001,,,
,,"Natural gas-fired reciprocating engines","2-Stroke lean burn",6.93E+002,"N/A",6.24E+002,"N/A",,,
,,"Natural gas-fired reciprocating engines","4-Stroke lean burn",5.97E+002,"N/A",5.37E+002,"N/A",,,
,,"Natural gas-fired reciprocating engines","4-Stroke rich burn",1.10E+002,"N/A",9.90E+001,"N/A",,,
,"Biomass","Wood/wood waste boilers",,1.10E+001,7.00E+000,1.05E+001,6.65E+000,,,
,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories. The IPCC values were originally on a NCV (LHV) basis and have been converted to a GCV (HHV) basis using rule of thumb.Gross calorific (higher heating) values are preferred because they are more closely related to the carbon content of fuels than net calorific (lower heating) values.",,,,,,,,,
