country,kgCO2PerkWh,kgCO2PerkWhGHG,units,source,
Iraq,0.927,0.70071,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Ireland,0.549,0.58417,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Islamic Republic of Iran,0.523,0.53377,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Israel,0.818,0.76748,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Italy,0.524,0.40539,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Jamaica,0.794,0.71335,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Japan,0.441,0.42854,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Jordan,0.64,0.65989,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Kazakhstan,1.116,1.13685,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Kenya,0.194,0.30677,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Korea,0.437,0.41819,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Kuwait,0.663,0.80749,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Kyrgyzstan,0.084,0.08163,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Latin America,0.189,0.19697,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Latvia,0.181,0.16203,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Lebanon,0.709,0.66734,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Libya,0.979,0.89937,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Lithuania,0.121,0.1296,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Luxembourg,0.325,0.32776,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Malaysia,0.492,0.55701,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Malta,0.814,0.89189,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Memo: Economies in Transition,-,0.36226,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Memo: Former Yugoslavia,-,0.57652,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Mexico,0.576,0.51547,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Middle East,0.693,0.69011,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Mongolia,-,0.53322,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Morocco,0.736,0.7775,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Mozambique,0.003,0.00134,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Myanmar,0.368,0.3648,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Namibia,0.028,0.02636,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Nepal,0.001,0.00141,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Netherlands,0.466,0.38667,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Netherlands Antilles,0.719,0.71783,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
New Zealand,0.178,0.27542,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Nicaragua,0.559,0.53877,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Nigeria,0.446,0.40296,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Norway,0.009,0.0055,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
OECD Europe,-,0.32556,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
OECD North America,-,0.52454,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
OECD Pacific,-,0.48321,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
OECD Total,0.467,-,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Oman,0.854,0.85454,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Other Africa,0.537,0.42014,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Other Asia,0.272,0.36085,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Other Latin America,0.591,0.51827,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Pakistan,0.37,0.37957,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Panama,0.356,0.27684,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Paraguay,0,0,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
People's Republic of China,0.771,0.78787,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Peru,0.148,0.19784,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Philippines,0.46,0.49515,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Poland,0.662,0.6589,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Portugal,0.414,0.49822,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Qatar,0.779,0.61797,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Republic of Moldova,0.756,0.51572,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Romania,0.451,0.39414,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Russia,0.329,0.33796,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Saudi Arabia,0.749,0.74761,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Senegal,0.594,0.63413,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Serbia and Montenegro,-,0.74792,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Serbia/Montenegro,0.766,-,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Singapore,0.562,0.54393,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Slovak Republic,0.255,0.23206,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Slovenia ,0.363,0.32829,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
South Africa,0.853,0.84836,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Spain,0.381,0.3943,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Sri Lanka,0.407,0.39763,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Sudan,0.743,0.84803,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Sweden,0.059,0.04454,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Switzerland,0.03,0.02623,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Syria,0.583,0.5875,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Tajikistan,0.027,0.02741,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Thailand,0.528,0.53134,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Togo,0.175,0.47407,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Trinidad and Tobago,0.731,0.70903,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Tunisia,0.554,0.48159,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Turkey,0.496,0.43284,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Turkmenistan,0.795,0.79512,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Ukraine,0.341,0.31432,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
United Arab Emirates,0.781,0.84362,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
United Kingdom,0.537,0.47251,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
United Republic of Tanzania,0.095,0.60656,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
United States,0.659,0.57293,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Uruguay,0.002,0.10274,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Uzbekistan,0.468,0.44304,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Venezuela,0.245,0.22522,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Vietnam,0.375,0.4056,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
World,0.501,0.50174,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Yemen,0.885,0.84547,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Zambia,0.006,0.00684,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Zimbabwe,0.516,0.57234,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
