transportType,transportStyle,transportFuel,transportSize,transportKgCO2PerKm,transportKgCO2PerPassengerJourney,units,transportSource,algorithm,default,,,,,
Car3,-,Diesel,Medium,0.188,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan08",value*user_distance*user_multipliers,,,,,,
Car3,-,Diesel,Large,0.264,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan09",value*user_distance*user_multipliers,,,,,,
Car3,-,Petrol Hybrid,Medium,0.126,0,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,value*user_distance*user_multipliers,,,,,,
Car3,-,Petrol Hybrid,Large,0.224,0,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,value*user_distance*user_multipliers,,,,,,
Car3,-,Petrol,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car3,-,Petrol Hybrid,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car3,-,Diesel,Fuel consumption,0.000,0,-,User,fuel_diesel*user_distance/user_kmPerLitre,,,,,,
Car3,-,Petrol,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car3,-,Petrol Hybrid,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car3,-,Diesel,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_diesel*user_distance/user_kmPerLitre,,,,,,
Motorcycle3,-,Petrol,Small,0.073,0,kgCO2/km ,Reproduced from ACEM / EC JRC,value*user_distance*user_multipliers,,,,,,
Motorcycle3,-,Petrol,Medium,0.094,0,kgCO2/km ,Reproduced from ACEM / EC JRC,value*user_distance*user_multipliers,,,,,,
Motorcycle3,-,Petrol,Large,0.129,0,kgCO2/km ,Reproduced from ACEM / EC JRC,value*user_distance*user_multipliers,,,,,,
Motorcycle3,-,Petrol,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Motorcycle3,-,Petrol,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Flights,Domestic,-,One-way,0.000,73,kgCO2/pass.journey ,"Based on calculations for CRG, modified for domestic journey lengths, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
Flights,Domestic,-,Return,0.000,146,kgCO2/pass.journey ,"Based on calculations for CRG, modified for domestic journey lengths, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
Flights,Short haul,-,One-way,0.000,170,kgCO2/pass.journey ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
Flights,Short haul,-,Return,0.000,340,kgCO2/pass.journey ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
Flights,Long haul,-,One-way,0.000,801,kgCO2/pass.journey ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
Flights,Long haul,-,Return,0.000,1602,kgCO2/pass.journey ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_numberOfJourneys,,,,,,
