type,degreesDays,unit,source
1,0,,sap 2005
1.5,30,,sap 2005
2,60,,sap 2005
2.5,95,,sap 2005
3,125,,sap 2005
3.5,150,,sap 2005
4,185,,sap 2005
4.5,220,,sap 2005
5,265,,sap 2005
5.5,310,,sap 2005
6,360,,sap 2005
6.5,420,,sap 2005
7,480,,sap 2005
7.5,550,,sap 2005
8,620,,sap 2005
8.5,695,,sap 2005
9,775,,sap 2005
9.5,860,,sap 2005
10,950,,sap 2005
10.5,1045,,sap 2005
11,1140,,sap 2005
11.5,1240,,sap 2005
12,1345,,sap 2005
12.5,1450,,sap 2005
13,1560,,sap 2005
13.5,1670,,sap 2005
14,1780,,sap 2005
14.5,1900,,sap 2005
15,2015,,sap 2005
15.5,2130,,sap 2005
16,2250,,sap 2005
16.5,2370,,sap 2005
17,2490,,sap 2005
17.5,2610,,sap 2005
18,2730,,sap 2005
18.5,2850,,sap 2005
19,2970,,sap 2005
19.5,3090,,sap 2005
20,3210,,sap 2005
20.5,3330,,sap 2005
