type,size,kgCO2PerPassengerKm,kgCO2PerPassengerJourney,units,source,algorithm,default
domestic,one way,0.0000,81.2000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
domestic,return,0.0000,162.0000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
short haul,one way,0.0000,129.0000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
short haul,return,0.0000,257.0000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
long haul,one way,0.0000,844.0000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
long haul,return,0.0000,1688.0000,kgCO2/pass.journey ,defra/amee 2008,,value*user_numberOfJourneys
domestic,-,0.1753,0.0000,kgCO2/pass.km,defra/amee 2008,,
short haul,-,0.0983,0.0000,kgCO2/pass.km,defra/amee 2008,,
long haul,-,0.1106,0.0000,kgCO2/pass.km,defra/amee 2008,,
auto,one way,-1.,0,N/A,N/A,,
auto,return,-1.,0,N/A,N/A,,
