1,United States,"324,603.60"
2,Russia,"90,135.00"
3,China,"89,243.00"
4,Germany,"79,450.40"
5,United Kingdom,"67,906.80"
6,Japan,"42,696.20"
7,France,"31,775.70"
8,India,"25,167.00"
9,Canada,"23,930.00"
10,Ukraine,"22,956.40"
11,Poland,"22,474.80"
12,Italy,"17,886.50"
13,South Africa,"13,271.30"
14,Australia,"12,014.30"
15,Mexico,"11,463.70"
16,Belgium,"10,653.40"
17,Spain,"10,156.90"
18,Kazakhstan,"10,021.40"
19,Czech Republic,"10,006.10"
20,Brazil,"9,136.30"
21,"Korea, South","9,004.40"
22,Netherlands,"8,922.80"
23,Iran,"7,589.70"
24,Romania,"6,774.70"
25,Saudi Arabia,"6,221.80"
26,Indonesia,"6,174.10"
27,Uzbekistan,"6,008.00"
28,Argentina,"5,528.60"
29,Turkey,"5,122.80"
30,Venezuela,"5,004.40"
31,Taiwan,"4,736.90"
32,Austria,"4,432.20"
33,Sweden,"4,239.60"
34,Belarus,"4,052.10"
35,Hungary,"4,009.30"
36,"Korea, North","3,889.20"
37,Denmark,"3,446.30"
38,Slovakia,"3,349.40"
39,Thailand,"3,287.00"
40,Bulgaria,"3,107.80"
41,Egypt,"3,079.20"
42,Greece,"2,535.40"
43,Switzerland,"2,398.50"
44,Finland,"2,396.80"
45,Malaysia,"2,373.90"
46,Pakistan,"2,303.00"
47,Serbia,"2,223.40"
48,Iraq,"2,186.10"
49,Nigeria,"2,179.30"
50,Algeria,"2,161.20"
51,Colombia,"2,137.40"
52,Azerbaijan,"1,943.10"
53,Philippines,"1,833.20"
54,Norway,"1,790.00"
55,Turkmenistan,"1,746.80"
56,Portugal,"1,727.20"
57,Chile,"1,676.60"
58,United Arab Emirates,"1,660.30"
59,Kuwait,"1,605.30"
60,Ireland,"1,584.50"
61,Israel,"1,434.20"
62,Vietnam,"1,315.70"
63,New Zealand,"1,296.40"
64,Cuba,"1,225.50"
65,Libya,"1,158.30"
66,Singapore,"1,109.70"
67,Syria,"1,096.70"
68,Peru,"1,045.10"
69,Estonia,"1,020.30"
70,Lithuania,864.8
71,Morocco,812.3
72,Croatia,743.6
73,Moldova,722.1
74,Trinidad and Tobago,694.3
75,Bosnia and Herzegovina,666.6
76,Luxembourg,634.8
77,Zimbabwe,614.2
78,Slovenia,598.4
79,Qatar,586.8
80,Ecuador,575.7
81,Bangladesh,562.6
82,Georgia,562.1
83,Latvia,549.1
84,Tajikistan,513.8
85,Tunisia,490.2
86,Kyrgyzstan,417.8
87,Lebanon,407.9
88,Dominican Republic,402.8
89,Oman,398.3
90,Macedonia,395.1
91,Bahrain,392.5
92,Jordan,338.7
93,Yemen,323.1
