"data_center_id","data_center_location","geocode_country","geocode_state","region_network","product_id","product_line","product_name","product_server_type","count","watts"
"1-6BTFJL","Dallas, TX","US","TX","Mapper2","B-3-367ERZ","Akamai Servers","Verari 1x2-G4 8G Opteron Server {Rev B}","1x2 G4",44,5720
"1-9UVB","Haninge, Sweden","SE","N/A","FreeFlow","B-3-1JT3K0","Akamai Servers","ZT Group 2x8-G4 Opteron Server {Rev B}","2x8 G4",44,9900
"1-DI5QV","Chicago, IL","US","IL",,"1-6MZ4CH","Akamai Switches","HP ProCurve Switch 3400cl-48G",,44,5280
"A-1-7IHYOR","New York, New York","US","NY","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",44,9900
"A-1-7IUSZL","Santa Clara, CA","US","CA","Flash5 Windows","B-3-576BA7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server {Upgraded by ZT}","2x8 G4 CacheH",44,9900
"A-1-9SJIJJ","San Jose, CA","US","CA",,"1-31P7AN","PDU","APC 7901 MasterSwitch 100/120V 20A",,44,440
"A-1-AY55QB","New York, New York","US","NY",,"1-6MZ4CH","Akamai Switches","HP ProCurve Switch 3400cl-48G",,44,5280
"B-3-2B0CAL","Ashburn, VA","US","VA","FreeFlow","A-1-7IE309","Akamai Servers","Verari 2x8-G1 CacheH Opteron Server","2x8 G1 CacheH",44,15400
"B-3-2B0CAL","Ashburn, VA","US","VA",,"A-1-AA82SX","Akamai Switches","HP ProCurve Switch 2900-48G",,44,7260
"1-6BTFJL","Dallas, TX","US","TX","Other","B-4-52L0X","Akamai Servers","ZT Group 1x2-G4 8GB Opteron Server {Rev B}","1x2 G4",43,5590
"A-1-8U75Q5","Seattle - Westin","US","WA","Infra","B-4-52L0X","Akamai Servers","ZT Group 1x2-G4 8GB Opteron Server {Rev B}","1x2 G4",43,5590
"A-1-A5NJYP","Shinkawa, Tokyo (Verio), Japan","JP","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",43,11825
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"1-1XYVP","Osaka, Japan","JP","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"1-1XYVP","Osaka, Japan","JP","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-39HCV9","Osaka","JP","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-3DLO7X","Madrid, Spain (BT)","ES","N/A","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",42,9450
"1-6BTFJL","Dallas, TX","US","TX","Storage","A-1-7FTMP1","Akamai Servers","ZT Group 2x2-G3 Opteron Server","2x2 G3",42,8190
"1-6BTFJL","Dallas, TX","US","TX","Infra","B-3-367ERZ","Akamai Servers","Verari 1x2-G4 8G Opteron Server {Rev B}","1x2 G4",42,5460
"1-6HZ06","Highlands Ranch, CO","US","CO","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-8Y5XP","NIKHEF","NL","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"1-9T5V","Sunnyvale, CA","US","CA","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-DI5QV","Chicago, IL","US","IL","Storage","A-1-7FTMP1","Akamai Servers","ZT Group 2x2-G3 Opteron Server","2x2 G3",42,8190
"1-DI5QV","Chicago, IL","US","IL","FreeFlow","A-1-B63UQ7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",42,9450
"1-DI5QV","Chicago, IL","US","IL","FreeFlow","B-3-19M014","Akamai Servers","ZT Group 2x8-G3 73GB Opteron Server","2x8 G3",42,11550
"1-M7ZYE","Odaiba data center","JP","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"1-X9OP","Palermo, Italy","IT","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"179-25SJ","Frankfurt","DE","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"A-1-7U5Y49","Sunnyvale, CA","US","CA","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
