type,thatchedRoofRoominRoof,unit,Source
"A,B,C,D",0.25,,sap 2005
E,0.25,,sap 2005
F,0.25,,sap 2005
G,0.25,,sap 2005
H,0.25,,sap 2005
I,0.25,,sap 2005
J,0.25,,sap 2005
K,0.25 (2),,sap 2005
