appliancesDevice,appliancesRating,appliancesAge,appliancesKWhPerYear,appliancesKWhPerCycle,units,appliancesSource,algorithm,default
Chest/upright Freezer2,F,-,644.826,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer2,G,-,433,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer2,Other,up to 12 years,292.377,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer2,Other,over 12 years,445.431,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,A++,-,90.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,A+,-,138.282,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,A,-,176.733,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,B,-,216.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge3,C,-,244.838,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,D,-,277.948,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,E,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,F,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,G,-,530.199,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,Other,up to 12 years,176.77,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge3,Other,over 12 years,265.64,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,A++,-,206,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,A+,-,270,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,A,-,408.076,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,B,-,465,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,C,-,609.317,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,D,-,410.923,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,E,-,591.3,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,F,-,711.75,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,G,-,821.25,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer3,Other,up to 12 years,372.505,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge/Freezer3,Other,over 12 years,592.781,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Chest/upright Freezer3,A++,-,175,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,A+,-,221.242,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,A,-,222.162,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,B,-,290.808,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,C,-,347.333,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,D,-,450.162,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,E,-,389.705,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,F,-,644.826,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,G,-,433,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,Other,up to 12 years,292.377,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer3,Other,over 12 years,445.431,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
