appliancesDevice,appliancesRating,appliancesAge,appliancesKWhPerYear,appliancesKWhPerCycle,units,appliancesSource,algorithm,default
Fridge1,A++,-,98,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge1,A+,-,124.83,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge1,A,-,182,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge1,Other,up to 12 years,221,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge1,Other,over 12 years,289.72,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,A++,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,A+,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,A,-,280.69,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,B,-,306.6,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,C,-,277.4,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,D,-,365,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,E,-,451.87,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,F,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,G,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer1,Other,up to 12 years,359,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer1,Other,over 12 years,445,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer1,A++,-,206,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer1,A+,-,220.46,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer1,A,-,382,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer1,Other,up to 12 years,480,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer1,Other,over 12 years,612,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge2,A++,-,98,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge2,A+,-,124.83,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge2,A,-,182,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge2,Other,up to 12 years,221,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge2,Other,over 12 years,289.72,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,A++,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,A+,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,A,-,280.69,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,B,-,306.6,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,C,-,277.4,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,D,-,365,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,E,-,451.87,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,F,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,G,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer2,Other,up to 12 years,359,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer2,Other,over 12 years,445,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer2,A++,-,206,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer2,A+,-,220.46,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer2,A,-,382,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer2,Other,up to 12 years,480,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer2,Other,over 12 years,612,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge3,A++,-,98,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge3,A+,-,124.83,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge3,A,-,182,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge3,Other,up to 12 years,221,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge3,Other,over 12 years,289.72,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,A++,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,A+,-,214.34,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,A,-,280.69,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,B,-,306.6,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,C,-,277.4,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,D,-,365,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,E,-,451.87,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,F,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,G,-,563.56,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer3,Other,up to 12 years,359,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer3,Other,over 12 years,455,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer3,A++,-,206,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer3,A+,-,220.46,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer3,A,-,382,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer3,Other,up to 12 years,480,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer3,Other,over 12 years,612,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Kettle,-,-,169.891,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Microwave,-,-,109,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Dishwasher,Normal,1-2 years,0,1.3,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,3-5 years,0,1.339,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,over 5 years,0,1.52,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,I don't know,0,1.45,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Dishwasher,Economy,1-2 years,0,0.91,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,3-5 years,0,0.937,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,over 5 years,0,1.06,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,I don't know,0,1.03,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washer/dryer,-,-,0,2.59,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (30),A+,up to 12 years,0,0.3696,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),A+,over 12 years,0,0.3465,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),A,up to 12 years,0,0.413,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),A,over 12 years,0,0.3871,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),B,up to 12 years,0,0.4564,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),B,over 12 years,0,0.4277,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),C,up to 12 years,0,0.4998,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),C,over 12 years,0,0.4683,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),D,up to 12 years,0,0.5432,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),D,over 12 years,0,0.5096,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),E,up to 12 years,0,0.5866,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),E,over 12 years,0,0.5502,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),F,up to 12 years,0,0.6307,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),F,over 12 years,0,0.5908,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),G,up to 12 years,0,0.6741,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),G,over 12 years,0,0.6314,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (30),Other,up to 12 years,0,0.4788,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (30),Other,over 12 years,0,0.5495,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (40),A+,up to 12 years,0,0.528,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),A+,over 12 years,0,0.495,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),A,up to 12 years,0,0.59,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),A,over 12 years,0,0.553,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),B,up to 12 years,0,0.652,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),B,over 12 years,0,0.611,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),C,up to 12 years,0,0.714,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),C,over 12 years,0,0.669,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),D,up to 12 years,0,0.776,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),D,over 12 years,0,0.728,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),E,up to 12 years,0,0.838,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),E,over 12 years,0,0.786,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),F,up to 12 years,0,0.901,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),F,over 12 years,0,0.844,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),G,up to 12 years,0,0.963,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),G,over 12 years,0,0.902,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
Washing machine (40),Other,up to 12 years,0,0.684,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (40),Other,over 12 years,0,0.785,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,default
Washing machine (60),A+,up to 12 years,0,0.88,kWh/cycle,dgen / defra 2007,value*user_cycles*fuel_electricity,
