name,On-peak fraction for electric DHW heating,,,
algFile,perMonth.js,,,
name,path,type,isDataItemValue,isDrillDown
"7-hour tariff,Cylinder size, 110litres",7hour tariffCylindersize110litres,DECIMAL,TRUE,FALSE
"7-hour tariff,Cylinder size, 160litres",7hour tariffCylindersize160litres,DECIMAL,TRUE,FALSE
"7-hour tariff,Cylinder size, 210litres",7hour tariffCylindersize210litres,DECIMAL,TRUE,FALSE
"7-hour tariff,Cylinder size, 245litres",7hour tariffCylindersize245litres,DECIMAL,TRUE,FALSE
"10-hour tariff,Cylinder size, 110litres",10hour tariffCylindersize110litres,DECIMAL,TRUE,FALSE
"10-hour tariff,Cylinder size, 160litres",10hour tariffCylindersize160litres,DECIMAL,TRUE,FALSE
"10-hour tariff,Cylinder size, 210litres",10hour tariffCylindersize210litres,DECIMAL,TRUE,FALSE
Source,source,TEXT,TRUE,FALSE
Type,type,TEXT,TRUE,TRUE
